Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
16,RMQR,0.058823529411764705,0.16970579326152802,5.4891424,6.703766,8.14789,10.361309,13.77047,17.361687
16,PMQR,0.11017740429505135,0.21968777477741241,5.3070188,6.640514,7.910044,9.647322,12.676116,15.861178
16,RPMQR,0.021475256769374416,0.09584663063287735,5.2715945,6.4507184,7.8108115,9.767523,12.904238,16.728731
16,Mono,0.0,0.0,5.4565225,6.636866,7.7371006,9.761738,13.083328,16.824112
16,RMono,0.0,0.0,5.5808167,6.5237384,7.8922324,9.864955,12.948722,16.637272
16,NCMQR,0.0,0.0,5.348067,6.484999,7.948357,9.892804,13.170396,17.04578
16,RNCMQR,0.0,0.0,5.3023067,6.4312124,7.830227,9.687231,12.743009,16.185343
16,Rearrangement,0.0,0.0,5.4754686,6.6668367,8.110044,10.098868,13.118704,16.603127
16,Isotonic,0.0,0.0,5.4790564,6.6640615,8.12167,10.087943,13.133297,16.588535
17,SQR,0.5527544351073763,1.5915225744247437,5.257999,6.4188185,7.823501,11.218704,13.935111,18.671722
17,RSQR,0.4631185807656396,1.673930287361145,5.2448087,6.3795886,7.9925776,12.11843,16.10486,18.804617
17,MQR,0.10830999066293184,0.23051109910011292,5.292868,6.3762608,7.817287,9.76742,13.176382,16.586472
17,RMQR,0.06816059757236227,0.42565038800239563,5.2671337,6.3997035,7.8441176,9.799962,13.303235,16.682167
17,PMQR,0.16246498599439776,0.38016313314437866,5.383855,6.5088325,7.8647094,9.881468,13.46491,17.329432
17,RPMQR,0.02707749766573296,0.09996459633111954,5.34494,6.4603744,7.907926,9.85318,13.225972,16.309132
17,Mono,0.0,0.0,5.9674683,6.6600003,7.793948,10.043231,13.253961,16.605604
17,RMono,0.0,0.0,5.8459735,6.652792,7.805393,9.780583,13.382173,17.050179
17,NCMQR,0.0,0.0,5.3218336,6.4881134,7.9357595,9.94274,13.219777,16.78176
17,RNCMQR,0.0,0.0,5.331503,6.5040154,7.9334087,9.779203,12.910866,16.356922
17,Rearrangement,0.0,0.0,5.2923193,6.3720984,7.817176,9.767013,13.174002,16.587189
17,Isotonic,0.0,0.0,5.2925935,6.374056,7.817066,9.767216,13.175191,16.58683
18,SQR,0.5359477124183006,2.044644832611084,5.30657,6.4796653,7.995717,10.126264,16.943913,18.872831
18,RSQR,0.38095238095238093,0.9674501419067383,5.191636,6.5594945,7.818889,10.307151,13.530035,17.903654
18,MQR,0.09710550887021475,0.3462409973144531,5.4366245,6.540139,8.301273,10.099137,13.431789,16.939806
18,RMQR,0.03454715219421102,0.2197439819574356,5.209799,6.437088,7.9170914,10.083379,13.124057,16.719872
18,PMQR,0.10550887021475257,0.3719460964202881,5.245088,6.409081,7.829706,9.870619,13.114319,16.784887
18,RPMQR,0.01680672268907563,0.14304029941558838,5.40085,6.5795155,8.022573,10.161134,13.640214,17.225487
18,Mono,0.0,0.0,6.372391,7.0456114,8.301254,10.4811945,14.239641,18.090885
18,RMono,0.0,0.0,5.8967857,6.7324367,7.97056,10.320514,13.549446,17.545856
18,NCMQR,0.0,0.0,6.311408,7.227446,8.809631,10.842227,14.228388,18.18984
18,RNCMQR,0.0,0.0,6.135134,7.0946074,8.590763,10.542941,14.007642,17.508068
18,Rearrangement,0.0,0.0,5.429994,6.5453477,8.287769,10.113535,13.425273,16.937153
18,Isotonic,0.0,0.0,5.4333,6.542732,8.294521,10.106352,13.427029,16.941673
19,SQR,0.5116713352007469,1.9915509223937988,5.22435,6.6951947,7.8930387,10.1110115,13.569103,19.481771
19,RSQR,0.5676937441643324,1.1679328680038452,5.3005104,6.3432584,7.8363175,10.236594,13.901625,18.306149
